frame,timestamp,classes,confidence
319,0:00:10.633333,smoke,0.296
320,0:00:10.666667,smoke,0.299
322,0:00:10.733333,smoke,0.579
323,0:00:10.766667,smoke,0.266
324,0:00:10.800000,smoke,0.284
325,0:00:10.833333,smoke,0.281
328,0:00:10.933333,smoke,0.615
329,0:00:10.966667,smoke,0.325
331,0:00:11.033333,smoke,0.499
333,0:00:11.100000,smoke,0.354
334,0:00:11.133333,smoke,0.43
335,0:00:11.166667,smoke,0.74
336,0:00:11.200000,smoke,0.74
337,0:00:11.233333,smoke,0.714
338,0:00:11.266667,smoke,0.699
339,0:00:11.300000,smoke,0.699
340,0:00:11.333333,smoke,0.728
341,0:00:11.366667,smoke,0.728
342,0:00:11.400000,smoke,0.752
343,0:00:11.433333,smoke,0.686
344,0:00:11.466667,smoke,0.748
345,0:00:11.500000,smoke,0.723
346,0:00:11.533333,smoke,0.709
347,0:00:11.566667,smoke,0.709
348,0:00:11.600000,smoke,0.639
349,0:00:11.633333,smoke,0.76
350,0:00:11.666667,smoke,0.732
351,0:00:11.700000,smoke,0.615
352,0:00:11.733333,"fire,smoke",0.712
353,0:00:11.766667,"fire,smoke",0.712
354,0:00:11.800000,"fire,smoke",0.733
355,0:00:11.833333,smoke,0.668
356,0:00:11.866667,smoke,0.471
357,0:00:11.900000,smoke,0.471
358,0:00:11.933333,"fire,smoke",0.421
359,0:00:11.966667,fire,0.257
360,0:00:12,smoke,0.455
361,0:00:12.033333,smoke,0.465
362,0:00:12.066667,smoke,0.465
363,0:00:12.100000,"fire,smoke",0.441
364,0:00:12.133333,smoke,0.359
365,0:00:12.166667,smoke,0.523
366,0:00:12.200000,smoke,0.523
367,0:00:12.233333,smoke,0.34
368,0:00:12.266667,smoke,0.359
369,0:00:12.300000,smoke,0.518
370,0:00:12.333333,smoke,0.349
371,0:00:12.366667,smoke,0.508
372,0:00:12.400000,"fire,smoke",0.489
376,0:00:12.533333,fire,0.667
377,0:00:12.566667,fire,0.732
378,0:00:12.600000,fire,0.711
379,0:00:12.633333,fire,0.737
380,0:00:12.666667,fire,0.624
381,0:00:12.700000,fire,0.655
382,0:00:12.733333,fire,0.718
383,0:00:12.766667,fire,0.751
384,0:00:12.800000,fire,0.769
385,0:00:12.833333,fire,0.77
386,0:00:12.866667,fire,0.77
387,0:00:12.900000,fire,0.728
388,0:00:12.933333,fire,0.702
389,0:00:12.966667,fire,0.695
390,0:00:13,fire,0.662
391,0:00:13.033333,fire,0.698
392,0:00:13.066667,fire,0.656
393,0:00:13.100000,fire,0.714
394,0:00:13.133333,fire,0.639
395,0:00:13.166667,fire,0.588
396,0:00:13.200000,fire,0.588
397,0:00:13.233333,fire,0.553
398,0:00:13.266667,fire,0.654
399,0:00:13.300000,fire,0.593
400,0:00:13.333333,fire,0.661
401,0:00:13.366667,fire,0.62
402,0:00:13.400000,fire,0.719
403,0:00:13.433333,fire,0.306
404,0:00:13.466667,fire,0.438
405,0:00:13.500000,"fire,smoke",0.319
406,0:00:13.533333,fire,0.578
407,0:00:13.566667,fire,0.506
409,0:00:13.633333,fire,0.394
410,0:00:13.666667,fire,0.394
411,0:00:13.700000,fire,0.734
412,0:00:13.733333,fire,0.286
414,0:00:13.800000,"fire,smoke",0.459
415,0:00:13.833333,fire,0.619
416,0:00:13.866667,"fire,smoke",0.649
417,0:00:13.900000,fire,0.363
418,0:00:13.933333,fire,0.376
419,0:00:13.966667,"fire,smoke",0.408
420,0:00:14,"fire,smoke",0.408
421,0:00:14.033333,fire,0.361
424,0:00:14.133333,smoke,0.269
425,0:00:14.166667,"fire,smoke",0.434
426,0:00:14.200000,smoke,0.468
427,0:00:14.233333,smoke,0.313
428,0:00:14.266667,smoke,0.313
438,0:00:14.600000,smoke,0.33
439,0:00:14.633333,smoke,0.297
440,0:00:14.666667,smoke,0.626
441,0:00:14.700000,smoke,0.664
442,0:00:14.733333,smoke,0.444
443,0:00:14.766667,smoke,0.444
444,0:00:14.800000,smoke,0.373
446,0:00:14.866667,smoke,0.401
448,0:00:14.933333,smoke,0.27
449,0:00:14.966667,smoke,0.64
450,0:00:15,smoke,0.705
451,0:00:15.033333,smoke,0.659
452,0:00:15.066667,smoke,0.659
453,0:00:15.100000,smoke,0.399
454,0:00:15.133333,smoke,0.492
455,0:00:15.166667,smoke,0.425
456,0:00:15.200000,smoke,0.544
457,0:00:15.233333,smoke,0.508
458,0:00:15.266667,smoke,0.508
459,0:00:15.300000,smoke,0.438
461,0:00:15.366667,smoke,0.305
465,0:00:15.500000,smoke,0.335
471,0:00:15.700000,smoke,0.329
472,0:00:15.733333,smoke,0.329
473,0:00:15.766667,smoke,0.632
474,0:00:15.800000,smoke,0.374
475,0:00:15.833333,smoke,0.387
481,0:00:16.033333,smoke,0.291
482,0:00:16.066667,smoke,0.295
483,0:00:16.100000,smoke,0.298
484,0:00:16.133333,smoke,0.298
485,0:00:16.166667,smoke,0.409
487,0:00:16.233333,smoke,0.335
488,0:00:16.266667,smoke,0.541
489,0:00:16.300000,smoke,0.38
493,0:00:16.433333,smoke,0.283
494,0:00:16.466667,smoke,0.256
513,0:00:17.100000,smoke,0.325
515,0:00:17.166667,smoke,0.279
517,0:00:17.233333,smoke,0.447
547,0:00:18.233333,smoke,0.29
548,0:00:18.266667,smoke,0.29
551,0:00:18.366667,smoke,0.334
562,0:00:18.733333,smoke,0.276
564,0:00:18.800000,smoke,0.555
565,0:00:18.833333,smoke,0.555
566,0:00:18.866667,smoke,0.415
603,0:00:20.100000,smoke,0.43
